id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
86,Ecobici,N/A,Lunes,2020-05-25,,,"5,807"
87,Ecobici,N/A,Martes,2020-05-26,,,"5,848"
88,Ecobici,N/A,Miércoles,2020-05-27,,,"5,636"
89,Ecobici,N/A,Jueves,2020-05-28,,,"5,358"
90,Ecobici,N/A,Viernes,2020-05-29,,,"6,264"
91,Ecobici,N/A,Sábado,2020-05-30,,,"4,715"
92,Ecobici,N/A,Domingo,2020-05-31,,,"3,264"
93,Ecobici,N/A,Lunes,2020-06-01,,,"6,132"
94,Ecobici,N/A,Martes,2020-06-02,,,"6,406"
95,Ecobici,N/A,Miércoles,2020-06-03,,,"6,276"
96,Ecobici,N/A,Jueves,2020-06-04,,,"6,273"
97,Ecobici,N/A,Viernes,2020-06-05,,,"6,721"
98,Ecobici,N/A,Sábado,2020-06-06,,,"5,164"
99,Ecobici,N/A,Domingo,2020-06-07,,,"3,963"
100,Ecobici,N/A,Lunes,2020-06-08,,,"5,480"
101,Ecobici,N/A,Martes,2020-06-09,,,"6,088"
102,Ecobici,N/A,Miércoles,2020-06-10,,,"6,553"
103,Ecobici,N/A,Jueves,2020-06-11,,,"6,234"
104,Ecobici,N/A,Viernes,2020-06-12,,,"6,752"
105,Ecobici,N/A,Sábado,2020-06-13,,,"5,410"
106,Ecobici,N/A,Domingo,2020-06-14,,,"4,584"
107,Ecobici,N/A,Lunes,2020-06-15,,,"6,695"
108,Ecobici,N/A,Martes,2020-06-16,,,"6,965"
109,Ecobici,N/A,Miércoles,2020-06-17,,,"6,862"
110,Ecobici,N/A,Jueves,2020-06-18,,,"7,025"
111,Ecobici,N/A,Viernes,2020-06-19,,,"6,880"
112,Ecobici,N/A,Sábado,2020-06-20,,,"4,666"
113,Ecobici,N/A,Domingo,2020-06-21,,,"4,210"
114,Ecobici,N/A,Lunes,2020-06-22,,,"4,903"
115,Ecobici,N/A,Martes,2020-06-23,,,"5,638"
116,Ecobici,N/A,Miércoles,2020-06-24,,,"6,341"
117,Ecobici,N/A,Jueves,2020-06-25,,,"6,112"
118,Ecobici,N/A,Viernes,2020-06-26,,,"7,282"
119,Ecobici,N/A,Sábado,2020-06-27,,,"5,723"
120,Ecobici,N/A,Domingo,2020-06-28,,,"4,780"
121,Ecobici,N/A,Lunes,2020-06-29,,,"6,133"
122,Ecobici,N/A,Martes,2020-06-30,,,"7,463"
123,Ecobici,N/A,Miércoles,2020-07-01,,,"7,355"
124,Ecobici,N/A,Jueves,2020-07-02,,,"7,997"
125,Ecobici,N/A,Viernes,2020-07-03,,,"7,382"
126,Ecobici,N/A,Sábado,2020-07-04,,,"5,722"
127,Ecobici,N/A,Domingo,2020-07-05,,,"4,240"
128,Ecobici,N/A,Lunes,2020-07-06,,,"7,289"
129,Ecobici,N/A,Martes,2020-07-07,,,"7,418"
130,Ecobici,N/A,Miércoles,2020-07-08,,,"7,727"
131,Ecobici,N/A,Jueves,2020-07-09,,,"6,926"
132,Ecobici,N/A,Viernes,2020-07-10,,,"8,510"
